region	country	lat	lng
Bandung Kota	Indonesia	-6.917463900000001	107.61912279999999
Bandung Selatan	Indonesia	-6.9557571	107.6304105
Bandung Timur	Indonesia	-6.917463900000001	107.61912279999999
Bantul	Indonesia	-7.874817599999999	110.3255365
Baturiti - Tabanan - Bali	Indonesia	-8.3397885	115.1770586
Baturiti_Tabanan_Bali	Indonesia	-8.3397885	115.1770586
Bekasi	Indonesia	-6.2382699	106.9755726
Blitar	Indonesia	-8.095462699999999	112.16090559999999
Bogor	Indonesia	-6.5971468999999985	106.80603880000001
Bogor Barat	Indonesia	-6.572861899999999	106.76474750000001
Bogor Selatan	Indonesia	-6.642821400000001	106.82373740000001
Bogor Utara	Indonesia	-6.5708376999999984	106.82373740000001
CILACAP	Indonesia	-7.6178095999999975	108.90268300000001
Ciamis	Indonesia	-7.332077300000001	108.34925430000001
Cianjur	Indonesia	-6.8168237000000005	107.1425442
Cibubur	Indonesia	-6.356087199999998	106.879792
Cikarang	Indonesia	-6.3079231999999985	107.17208500000001
Cilegon	Indonesia	-6.0025343	106.0111203
Cirebon	Indonesia	-6.7320229000000005	108.55231640000001
Denpasar	Indonesia	-8.670458199999999	115.2126293
Depok	Indonesia	-6.4024844000000005	106.7942405
Dompu	Indonesia	-8.536395800000001	118.34619479999999
Donomulyo	Indonesia	-8.321969500000002	112.40530459999998
Ende	Indonesia	-8.854053	121.654198
Garut	Indonesia	-7.2512159999999986	107.9235563
Gianyar	Indonesia	-8.4248244	115.2600506
Indramayu	Indonesia	-6.3373099999999996	108.32583290000001
Jakarta	Indonesia	-6.17511	106.86503950000001
Java	Indonesia	-7.6145292000000016	110.7122465
Jember	Indonesia	-8.1844859	113.66807469999999
Karanganyar	Indonesia	-7.6387228	111.0460407
Kediri	Indonesia	-7.848015599999999	112.01782859999999
Kefamenanu	Indonesia	-9.4442228	124.4780429
Kendal	Indonesia	-7.026544199999999	110.1879106
Klaten	Indonesia	-7.657893	110.6645683
Kuantan	Indonesia	3.7633859	103.2201828
Kudus	Indonesia	-6.772618599999999	110.87913429999999
Kupang	Indonesia	-10.1771997	123.60703290000002
Kupang, East Nusa Tenggara	Indonesia	-10.1771997	123.60703290000002
Lampung	Indonesia	-4.5585849000000005	105.40680790000002
Lampung Tengah	Indonesia	-4.8008086	105.3131185
Larantuka, East Nusa Tenggara	Indonesia	-8.3288444	122.94940090000001
Lebak	Indonesia	-6.564395600000001	106.25221429999999
Lombok	Indonesia	-8.650979	116.32494380000001
Lombok Timur	Indonesia	-8.513447099999999	116.5609857
Lumajang	Indonesia	-8.0943571	113.1441558
